Posi	Sonar	Lidar	Fusion
-0.46	44.2	43.61	44.11
-0.39	37.88	38.65	37.99
-0.33	33.67	27.49	32.8
-0.26	39.99	28.31	38.35
-0.2	42.09	31.25	40.57
-0.13	37.88	34.69	37.43
-0.07	39.99	38.72	39.81
0.0	37.88	43.79	38.71
0.07	37.88	37.85	37.88
0.13	39.99	22.44	37.52
0.2	44.2	23.18	41.24
0.26	33.67	25.2	32.48
0.33	35.78	27.65	34.64
0.39	33.67	30.18	33.18
0.46	48.41	33.39	46.3
0.52	44.2	37.15	43.21
0.59	25.26	42.0	27.61
0.65	48.41	48.25	48.39
0.72	65.24	55.84	63.92
0.79	63.14	65.52	63.47
0.85	65.24	78.2	67.07
0.92	63.14	80	65.51
0.98	63.14	80	65.51
1.05	63.14	80	65.51
1.11	65.24	80	67.32
1.18	65.24	80	67.32
1.24	69.45	80	70.94
1.31	67.35	80	69.13
1.37	80	80	80.0
1.44	65.24	21.13	59.04
1.51	69.45	23.06	62.93
1.57	75.77	21.66	68.16
1.64	77.87	22.89	70.14
1.7	80	24.96	72.26
1.77	77.87	27.09	70.73
1.83	77.87	29.76	71.11
1.9	77.87	32.94	71.56
1.96	75.77	36.67	70.27
2.03	75.77	41.41	70.94
2.09	61.04	47.06	59.07
2.16	46.3	54.43	47.45
2.23	44.2	64.01	46.98
2.29	44.2	77.93	48.94
2.36	42.09	80	47.42
2.42	42.09	80	47.42
2.49	42.09	80	47.42
2.55	42.09	80	47.42
2.62	42.09	74.63	46.67
2.68	42.09	75.12	46.74
2.75	42.09	46.33	42.69
2.81	50.51	44.17	49.62
2.88	44.2	44.07	44.18
2.95	42.09	50.81	43.32
3.01	46.3	59.03	48.09
3.08	52.62	70.24	55.09
3.14	54.72	80	58.27
3.21	50.51	40.66	49.13
3.27	33.67	39.63	34.51
3.34	21.05	44.83	24.39
3.4	23.15	48.36	26.7
3.47	23.15	45.13	26.24
3.53	23.15	46.75	26.47
3.6	21.05	51.05	25.26
3.67	23.15	34.81	24.79
3.6	23.15	33.62	24.62
3.53	23.15	35.43	24.88
3.47	23.15	40.34	25.57
3.4	23.15	44.83	26.2
3.34	23.15	46.13	26.38
3.27	21.05	45.52	24.49
3.21	21.05	46.85	24.67
3.14	23.15	45.03	26.23
3.08	23.15	42.0	25.8
3.01	21.05	43.42	24.19
2.95	35.78	48.7	37.6
2.88	48.41	38.21	46.97
2.81	48.41	32.72	46.2
2.75	61.04	35.31	57.42
2.68	56.83	39.4	54.38
2.62	50.51	45.13	49.75
2.55	44.2	51.42	45.21
2.49	42.09	47.92	42.91
2.42	42.09	55.55	43.99
2.36	42.09	65.71	45.41
2.29	42.09	76.89	46.98
2.23	44.2	80	49.23
2.16	42.09	80	47.42
2.09	44.2	80	49.23
2.03	42.09	80	47.42
1.96	44.2	80	49.23
1.9	44.2	80	49.23
1.83	44.2	58.39	46.19
1.77	46.3	32.83	44.41
1.7	48.41	30.61	45.91
1.64	56.83	25.34	52.4
1.57	46.3	27.77	43.7
1.51	46.3	30.51	44.08
1.44	44.2	33.85	42.74
1.37	46.3	37.78	45.1
1.31	56.83	18.49	51.44
1.24	48.41	13.09	43.44
1.18	80	13.78	70.69
1.11	80	14.6	70.81
1.05	69.45	15.46	61.86
0.98	80	16.43	71.06
0.92	80	17.46	71.21
0.85	63.14	18.61	56.88
0.79	67.35	20.04	60.7
0.72	80	21.63	71.8
0.65	80	23.15	72.01
0.59	65.24	25.1	59.6
0.52	69.45	27.69	63.58
0.46	65.24	30.23	60.32
0.39	65.24	33.28	60.75
0.33	63.14	37.36	59.52
0.26	42.09	42.35	42.13
0.2	42.09	47.81	42.9
0.13	48.41	49.73	48.59
0.07	48.41	49.73	48.59
0.0	27.36	33.8	28.27
-0.07	25.26	29.49	25.85
-0.13	25.26	20.48	24.58
-0.2	25.26	20.93	24.65
-0.26	25.26	13.97	23.67
-0.33	35.78	13.76	32.68
-0.39	39.99	14.06	36.34
-0.46	39.99	14.88	36.46
-0.52	42.09	15.75	38.39
-0.46	48.41	16.7	43.95
-0.39	48.41	17.83	44.11
-0.33	46.3	19.03	42.47
-0.26	50.51	20.45	46.29
-0.2	48.41	22.14	44.71
-0.13	44.2	23.87	41.34
-0.07	39.99	26.04	38.03
0.0	39.99	12.36	36.11
0.07	35.78	12.72	32.54
0.13	25.26	13.41	23.59
0.2	35.78	14.16	32.74
0.26	42.09	15.0	38.28
0.33	35.78	15.94	32.99
0.39	25.26	16.91	24.08
0.46	27.36	18.02	26.05
0.52	25.26	19.3	24.42
0.59	61.04	20.79	55.38
0.65	46.3	22.35	42.94
0.72	50.51	24.12	46.8
0.79	65.24	26.41	59.79
0.85	48.41	28.73	45.64
0.92	67.35	31.56	62.32
0.98	54.72	34.87	51.93
1.05	61.04	39.4	57.99
1.11	73.66	44.74	69.6
1.18	73.66	51.8	70.59
1.24	80	59.35	77.1
1.31	80	76.89	79.56
1.37	80	73.67	79.11
1.44	80	23.56	72.07
1.51	80	25.75	72.38
1.57	80	28.26	72.73
1.64	80	31.1	73.13
1.7	80	34.45	73.6
1.77	80	38.06	74.11
1.83	80	43.7	74.9
1.9	80	49.73	75.75
1.96	80	58.08	76.92
2.03	80	69.16	78.48
2.09	75.77	79.82	76.34
2.16	44.2	80	49.23
2.23	44.2	80	49.23
2.29	42.09	80	47.42
2.36	46.3	80	51.04
2.42	44.2	80	49.23
2.49	42.09	80	47.42
2.55	42.09	80	47.42
2.62	42.09	80	47.42
2.68	44.2	80	49.23
2.75	42.09	59.19	44.5
2.81	42.09	43.06	42.23
2.88	44.2	43.24	44.06
2.95	44.2	49.73	44.98
3.01	44.2	56.42	45.92
3.08	42.09	65.33	45.36
3.14	46.3	43.79	45.95
3.21	48.41	32.45	46.16
3.27	33.67	34.45	33.78
3.34	21.05	38.57	23.51
3.4	23.15	43.24	25.98
3.47	23.15	44.17	26.11
3.53	21.05	47.71	24.79
3.6	23.15	51.8	27.18
3.67	23.15	35.94	24.95
3.6	23.15	32.4	24.45
3.53	23.15	33.8	24.65
3.47	23.15	37.85	25.22
3.4	23.15	34.09	24.69
3.34	23.15	32.51	24.47
3.27	23.15	36.21	24.99
3.21	23.15	40.99	25.66
3.14	23.15	44.83	26.2
3.08	23.15	42.26	25.84
3.01	23.15	45.23	26.25
2.95	21.05	51.05	25.26
2.88	37.88	34.51	37.41
2.81	56.83	31.61	53.28
2.75	48.41	34.99	46.52
2.68	42.09	39.4	41.71
2.62	44.2	44.07	44.18
2.55	44.2	50.69	45.11
2.49	42.09	54.71	43.87
2.42	65.24	61.86	64.77
2.36	58.93	65.91	59.91
2.29	44.2	70.68	47.92
2.23	46.3	60.5	48.3
2.16	44.2	72.72	48.21
2.09	42.09	80	47.42
2.03	42.09	79.82	47.4
1.96	44.2	80	49.23
1.9	44.2	80	49.23
1.83	44.2	43.33	44.08
1.77	46.3	50.32	46.87
1.7	80	32.35	73.3
1.64	65.24	35.94	61.13
1.57	67.35	41.07	63.66
1.51	69.45	46.85	66.28
1.44	67.35	54.02	65.48
1.37	65.24	63.28	64.97
1.31	67.35	76.12	68.58
1.24	65.24	80	67.32
1.18	67.35	80	69.13
1.11	63.14	80	65.51
1.05	67.35	80	69.13
0.98	69.45	80	70.94
0.92	69.45	80	70.94
0.85	63.14	80	65.51
0.79	67.35	80	69.13
0.72	65.24	80	67.32
0.65	67.35	80	69.13
0.59	65.24	80	67.32
0.52	67.35	53.75	65.44
0.46	69.45	63.1	68.56
0.39	67.35	52.82	65.31
0.33	65.24	62.56	64.87
0.26	67.35	62.21	66.63
0.2	63.14	74.88	64.79
0.13	67.35	34.09	62.67
0.07	63.14	38.5	59.68
0.0	80	43.88	74.92
-0.07	48.41	50.32	48.68
-0.13	44.2	58.71	46.24
-0.2	42.09	70.24	46.05
-0.26	39.99	80	45.61
-0.33	37.88	80	43.8
-0.39	37.88	80	43.8
-0.46	39.99	80	45.61
-0.52	44.2	47.28	44.63
-0.46	48.41	49.73	48.59
-0.39	52.62	18.3	47.79
-0.33	48.41	19.84	44.39
-0.26	50.51	21.28	46.4
-0.2	44.2	23.15	41.24
-0.13	39.99	25.16	37.9
-0.07	37.88	27.37	36.41
0.0	37.88	30.13	36.79
0.07	37.88	33.56	37.28
0.13	39.99	32.67	38.96
0.2	39.99	35.88	39.41
0.26	42.09	40.34	41.85
0.33	48.41	46.03	48.07
0.39	80	52.69	76.16
0.46	63.14	62.92	63.11
0.52	80	74.15	79.18
0.59	80	72.96	79.01
0.65	80	26.98	72.55
0.72	80	29.76	72.94
0.79	80	33.06	73.4
0.85	80	36.4	73.87
0.92	80	41.07	74.53
0.98	80	47.28	75.4
1.05	80	50.21	75.81
1.11	56.83	54.99	56.57
1.18	58.93	57.93	58.79
1.24	54.72	57.77	55.15
1.31	58.93	60.33	59.13
1.37	58.93	65.33	59.83
1.44	58.93	69.81	60.46
1.51	58.93	69.38	60.4
1.57	58.93	70.02	60.49
1.64	61.04	75.37	63.05
1.7	58.93	78.46	61.68
1.77	58.93	80	61.89
1.83	58.93	80	61.89
1.9	58.93	80	61.89
1.96	61.04	77.93	63.41
2.03	63.14	55.13	62.01
2.09	54.72	65.71	56.27
2.16	46.3	80	51.04
2.23	44.2	80	49.23
2.29	42.09	80	47.42
2.36	42.09	80	47.42
2.42	44.2	80	49.23
2.49	44.2	80	49.23
2.55	42.09	80	47.42
2.62	42.09	80	47.42
2.68	44.2	80	49.23
2.75	44.2	67.09	47.42
2.81	42.09	46.75	42.75
2.88	42.09	45.03	42.51
2.95	44.2	52.43	45.36
3.01	42.09	39.71	41.76
3.08	44.2	45.62	44.4
3.14	46.3	45.82	46.24
3.21	46.3	38.43	45.2
3.27	35.78	36.4	35.87
3.34	23.15	40.58	25.6
3.4	21.05	46.03	24.56
3.47	23.15	47.06	26.51
3.53	23.15	46.64	26.45
3.6	23.15	46.64	26.45
3.67	21.05	46.75	24.66
3.6	21.05	33.56	22.81
3.53	23.15	32.78	24.5
3.47	21.05	36.34	23.2
3.4	23.15	34.93	24.81
3.34	23.15	34.39	24.73
3.27	23.15	38.28	25.28
3.21	23.15	41.92	25.79
3.14	23.15	43.98	26.08
3.08	21.05	42.79	24.1
3.01	21.05	49.73	25.08
2.95	33.67	55.55	36.75
2.88	35.78	54.43	38.4
2.81	44.2	65.71	47.22
2.75	44.2	77.41	48.87
2.68	44.2	45.92	44.44
2.62	44.2	37.57	43.27
2.55	44.2	29.71	42.16
2.49	42.09	34.21	40.98
2.42	42.09	36.07	41.25
2.36	42.09	41.16	41.96
2.29	42.09	48.81	43.04
2.23	44.2	54.43	45.64
2.16	42.09	61.34	44.8
2.09	42.09	78.73	47.24
2.03	44.2	80	49.23
1.96	44.2	80	49.23
1.9	44.2	80	49.23
1.83	44.2	80	49.23
1.77	48.41	80	52.85
1.7	48.41	80	52.85
1.64	54.72	80	58.27
1.57	65.24	80	67.32
1.51	65.24	80	67.32
1.44	63.14	80	65.51
1.37	65.24	80	67.32
1.31	63.14	77.41	65.15
1.24	63.14	78.2	65.26
1.18	63.14	73.67	64.62
1.11	63.14	70.24	64.14
1.05	63.14	68.53	63.9
0.98	63.14	65.13	63.42
0.92	63.14	68.11	63.84
0.85	63.14	64.94	63.39
0.79	63.14	64.19	63.29
0.72	63.14	66.89	63.67
0.65	61.04	63.82	61.43
0.59	61.04	59.35	60.8
0.52	61.04	62.21	61.2
0.46	63.14	65.13	63.42
0.39	63.14	67.3	63.72
0.33	65.24	63.64	65.02
0.26	63.14	64.94	63.39
0.2	61.04	67.7	61.97
0.13	61.04	64.75	61.56
0.07	61.04	59.51	60.82
0.0	61.04	64.19	61.48
-0.07	61.04	65.13	61.61
-0.13	61.04	67.7	61.97
-0.2	61.04	64.57	61.53
-0.26	61.04	34.63	57.32
-0.33	61.04	30.09	56.68
-0.39	61.04	32.56	57.03
-0.46	61.04	20.11	55.28
-0.52	54.72	12.75	48.82
-0.46	46.3	11.97	41.48
-0.39	46.3	12.72	41.58
-0.33	46.3	13.28	41.66
-0.26	46.3	14.14	41.78
-0.2	48.41	14.71	43.67
-0.13	54.72	15.88	49.26
-0.07	61.04	17.22	54.88
0.0	61.04	18.11	55.0
0.07	61.04	18.87	55.11
0.13	61.04	20.69	55.36
0.2	61.04	22.03	55.55
0.26	61.04	24.05	55.84
0.33	63.14	25.58	57.86
0.39	63.14	28.73	58.3
0.46	61.04	32.67	57.05
0.52	61.04	35.24	57.41
0.59	61.04	37.85	57.78
0.65	63.14	45.23	60.62
0.72	63.14	50.21	61.32
0.79	61.04	59.19	60.78
0.85	63.14	62.74	63.08
0.92	61.04	63.82	61.43
0.98	63.14	69.38	64.02
1.05	61.04	66.3	61.77
1.11	61.04	61.68	61.13
1.18	63.14	65.52	63.47
1.24	61.04	65.52	61.67
1.31	63.14	68.11	63.84
1.37	63.14	64.57	63.34
1.44	63.14	65.52	63.47
1.51	61.04	67.5	61.94
1.57	63.14	64.19	63.29
1.64	61.04	62.56	61.25
1.7	63.14	67.5	63.75
1.77	63.14	65.91	63.53
1.83	63.14	67.09	63.7
1.9	61.04	64.01	61.45
1.96	61.04	64.75	61.56
2.03	61.04	67.91	62.0
2.09	61.04	65.33	61.64
2.16	63.14	61.34	62.89
2.23	61.04	66.1	61.75
2.29	63.14	65.52	63.47
2.36	80	64.75	77.86
2.42	80	61.34	77.38
2.49	80	70.9	78.72
2.55	80	80	80.0
2.62	80	80	80.0
2.68	80	80	80.0
2.75	80	80	80.0
2.81	80	60.5	77.26
2.88	77.87	61.86	75.62
2.95	80	67.3	78.21
3.01	80	41.92	74.65
3.08	80	50.21	75.81
3.14	80	56.13	76.64
3.21	80	64.01	77.75
3.27	80	80	80.0
3.34	80	80	80.0
3.4	80	80	80.0
3.47	80	80	80.0
3.53	80	53.75	76.31
3.6	77.87	67.5	76.41
3.67	67.35	77.93	68.84
3.6	80	80	80.0
3.53	12.63	14.44	12.88
3.47	42.09	7.94	37.29
3.4	37.88	7.79	33.65
3.34	10.52	7.79	10.14
3.27	10.52	7.7	10.13
